person_id,first_name,last_name,ssn,date_of_birth,risk_score,flagged,flag_reason
P000001,Matthew,Moore,754-24-1409,2005-05-18,0.8,True,structuring_beneficiary
P000002,Randall,Rocha,204-96-9935,1973-12-25,0.8,True,structuring_beneficiary
P000003,Allison,Maddox,132-13-2535,1999-04-21,0.8,False,
P000004,William,Rodriguez,303-93-9928,1984-06-20,0.8,False,
P000005,John,Bradley,990-10-3615,1950-01-14,0.8,False,
P000006,Hannah,Marquez,881-53-2674,1970-03-18,0.8,False,
P000007,Adrian,Zimmerman,718-43-1711,1948-10-13,0.8,False,
P000008,Richard,Morgan,487-20-5803,1999-05-12,0.8,False,
P000009,Tricia,Baker,691-34-2139,1994-06-21,0.8,False,
P000010,Rodney,Bernard,181-39-2654,2007-10-14,0.8,False,
P000011,Robert,Silva,266-57-6820,1978-01-04,0.8,False,
P000012,Stephen,Murillo,763-19-3803,2007-10-30,0.8,False,
P000013,Martha,Warner,348-70-7669,1983-08-11,0.8,False,
P000014,Jennifer,Harris,533-62-8651,1985-01-11,0.8,False,
P000015,Daniel,Landry,761-22-1993,1988-08-10,0.8,False,
P000016,Joseph,Cobb,354-34-4116,1951-11-20,0.8,False,
P000017,Michele,Walker,573-41-2235,1996-07-08,0.8,False,
P000018,Paul,Ray,151-93-9856,1961-02-14,0.8,False,
P000019,Amy,Smith,969-40-3724,1963-02-24,0.8,False,
P000020,Olivia,Johnston,160-31-7209,1990-05-01,0.8,False,
P000021,Shannon,Walton,903-68-5673,1997-12-26,0.8,False,
P000022,Melissa,Cannon,669-94-8973,1969-01-14,0.8,False,
P000023,Paul,Caldwell,458-49-4728,1995-05-11,0.8,False,
P000024,Matthew,Hobbs,385-18-5573,1962-08-09,0.8,False,
P000025,Kimberly,Martin,963-78-6425,1964-09-02,0.8,False,
P000026,Amanda,Stanley,282-84-5349,1949-06-02,0.8,False,
P000027,Christina,Gillespie,905-50-8149,1993-11-16,0.8,False,
P000028,Matthew,Beard,690-34-5173,1989-04-01,0.8,False,
P000029,Wendy,Pierce,925-78-4228,1967-03-29,0.8,False,
P000030,Marissa,Phillips,438-89-6143,1967-10-23,0.8,False,
P000031,Timothy,Peterson,619-49-7691,2005-11-25,0.8,False,
P000032,Donna,Moore,296-63-7211,1956-01-10,0.8,False,
P000033,Charles,Martin,358-20-8705,1964-06-15,0.10387665741000214,False,
P000034,Stacey,Holland,170-93-1659,1954-10-10,0.2508466408119052,False,
